names,location,max mag,min mag,period
V1052 Cas  ,004623.7+631937 ,11.31,11.35,0.127
V0432 Gem *,074016.7+233753 ,18.4,( 0.25   *),     0.127       :  
DT    Vel *,094347.9-525727 ,12.9, 14.1  :   ,0.12745532
V0409 CMa *,062933.4-311624 ,15.88,15.91,0.12785
V0488 Hya *,083542.6-081924 ,17.52,17.59,0.128
AM    Her *,181613.3+495204 ,12.3,15.7,0.128927
V1232 Cen  ,113445.0-382549 ,12.26,12.67,0.129485
V0464 Lac  ,220452.5+462701 ,12.75,-0.04,0.12987
V1222 Sco  ,165629.9-403224 ,14.2,-0.12,0.13
V0818 Cyg *,195340.5+364046 ,16,16.9,     0.13        :  
V2502 Cyg  ,193703.2+461926 ,10.84,10.9,     0.13        :  
V1086 Her  ,164839.3+302746 ,13.1,13,0.130597
V1338 Cen  ,140858.5-463643 ,10.2,10.7,0.1309382
VX    Psc  ,012952.9+182120 ,5.9,6.02,0.131
V0336 Aps  ,141503.0-741447 ,11.12,11.22,0.1322093
V0519 Ser  ,161007.5+035233 ,16.5,18,0.13232
ups   UMa *,095059.4+590219 ,3.68,3.86,0.1327
MW    Cam  ,122643.7+812826 ,9.25,9.36,0.132792
V0459 Vel *,084238.6-471207 ,15.51,-0.2,0.1328
BZ    Boo  ,133821.4+271714 ,8.2,-0.03,     0.1329      :  
BT    Cru *,125335.5-602347 ,9.8,-0.032,0.133
V0544 Ser  ,182522.0-000043 ,22,-0.3,0.133
V0792 Cep *,010801.0+844725 ,13.17,13.66,0.13331
V0482 Cam *,073341.4+673216 ,15.1,18.4,0.1336195
V0802 Aql  ,185854.8-030112 ,13.4,14.3,0.1337997
del   Ser *,153448.1+103220 ,4.23,-0.04,0.134
XX    Cyg *,200315.6+585717 ,11.28,12.13,0.134865113
V0705 Per  ,034431.2+320622 ,10.56,-0.04,0.135
X     Cae *,050426.2-354218 ,6.28,6.39,0.1352227
V0494 Vul  ,195316.6+203343 ,11.8,12,0.135674
V0474 Mon *,055901.1-092256 ,5.93,6.36,0.136126
OZ    Dra *,132723.4+652854 ,18,20,0.136647
V0455 Peg  ,214744.3+192908 ,10.36,10.4,     0.13683     :  
V0562 And  ,020211.3+441950 ,16.67,16.85,0.13805
V0456 Aur  ,062831.7+390637 ,7.88,7.95,0.138657
V1194 Cas *,234233.8+561120 ,10.55,10.63,0.1387
WX    Ari *,024736.2+103539 ,15.3,15.8,0.13935119
V0357 Her  ,184431.8+125532 ,13.2,13.8,0.139725
V2052 Oph  ,175618.4+004013 ,5.81,5.84,0.1398903
V1776 Ori  ,053655.6-043211 ,14.46,-0.25,0.14
V0376 Cam  ,045721.0+792059 ,11.75,12.15,0.1403229
tet   Oph *,172200.6-245958 ,3.25,3.31,0.140531
V2805 Oph  ,182619.7+072758 ,12.2,-0.01,0.14068
rho   Pup *,080732.6-241816 ,2.68,2.87,0.1408809
V2452 Cyg  ,212339.1+462021 ,19.9,-0.02,0.141
BO    Cir  ,144600.4-652300 ,9.73,-0.02,0.1412
V2796 Oph  ,182306.9+064213 ,12.3,-0.01,0.14254
V0365 And  ,013646.7+481856 ,7.49,7.53,0.142816
V1294 Tau  ,040037.2+062246 ,14.9,15.4,0.143
AU    Col  ,060902.6-410705 ,7.45,( 0.04   b),0.143
gam   UMi *,152043.7+715002 ,3.04,-0.05,0.143009
V2539 Cyg  ,202333.7+404520 ,11.71,-0.02,0.14301
EV    Lyn  ,075443.0+500729 ,17.75,18.4,0.143031
VZ    Scl *,235009.2-262253 ,15.6,18.4,0.1446222
IM    Tau *,041049.9+262851 ,5.37,5.58,0.145067
V0358 Aqr *,231603.6-052709 ,15.7,17.5,0.1454516
CH    CrB  ,160745.0+362321 ,17.9,19.5,0.14549982
V0435 Lyr *,191744.4+282948 ,14.6,15.2,     0.146004    :  
UW    CVn *,140118.7+281224 ,15,15.6,0.14623292
V1124 Cas  ,013316.9+605018 ,15.94,15.98,0.1463
PX    And *,003005.9+261727 ,14.04,17,0.14635
RS    Gru *,214304.2-481122 ,7.92,8.51,0.14701131
V0597 Lyr  ,191159.7+421846 ,11,-0.11,0.1479
ups   Tau *,042618.5+224849 ,4.28,4.31,0.1484
AR    Sco *,162147.3-225310 ,14.1,14.6,0.1485354
V0876 Cep  ,221337.0+554428 ,11.2,11.35,0.148585
V2806 Oph  ,182654.1+065805 ,11.8,-0.04,0.14862
DY    Her *,163118.0+115952 ,10.15,10.66,0.148631353
V0567 Oph *,175827.2+010605 ,11.07,11.43,0.149521
AO    Psc *,225517.9-031040 ,13.2,13.59,0.1496263
V1208 Aql *,191939.3+122229 ,5.51,5.56,0.149663
IW    Vel  ,105707.8-504554 ,5.9,-0.016,0.15
V0524 Hya *,092009.6+004246 ,17.12,19.4,0.15
V0450 Nor  ,155300.3-562754 ,16.03,16.18,0.1502
QS    Vir  ,134952.0-131337 ,14.27,17.76,0.150757525
V0361 Dra  ,170718.3+643933 ,16.8,19.5,0.1508
del   Cru  ,121508.7-584456 ,2.78,2.84,0.151038
V0537 Aur  ,050845.0+401517 ,12.1,-0.05,0.15132
gam   Peg  ,001314.2+151101 ,2.78,2.89,0.151750125
V2733 Ori  ,053830.0-021541 ,14.62,-0.06,0.152
HN    Aqr  ,223738.3-183951 ,11.42,11.48,0.15231
V0737 CrA *,180232.9-400516 ,9.18,9.3,0.152934
V0755 Per  ,021013.4+571125 ,10.14,10.19,0.153
V1782 Aql  ,190802.2+040901 ,13.75,13.92,0.1542
V3452 Sgr  ,183006.6-320641 ,16.7,17.4,0.15429
V0458 Vel *,084236.2-471129 ,15.51,-0.15,0.1543
V2802 Oph  ,182440.7+070406 ,9.2,-0.04,0.15436
OX    Aur *,065301.4+385209 ,5.94,6.14,0.154412
DL    Eri *,035637.9-094503 ,6.15,-0.09,0.155879
V2533 Cyg *,202258.9+404539 ,10.87,-0.06,0.156539
V2824 Oph  ,183316.5+062909 ,9.1,-0.01,0.15686
bet   Cen *,140349.4-602223 ,0.61,-0.045,0.157
LX    Ser *,153800.1+185203 ,13.3,17.4,0.158432441
V0462 Hya  ,130245.5-235813 ,10.84,11.46,0.158491
AO    Sex *,101254.9-002457 ,15.7,16,0.15964
BV    Cru *,125339.2-602113 ,8.77,-0.05,0.16
V0777 Tau *,042620.7+153706 ,4.73,-0.02,0.16
V2022 Ori  ,053445.7-005224 ,16.48,-0.05,0.16
V1301 Tau  ,040713.8+220931 ,14.7,14.89,     0.16        :  
V0521 Cas *,235706.3+564541 ,14.4,-0.21,0.16
V1026 Cas *,000701.8+644405 ,8.73,-0.06,0.160018
V0342 Aps  ,143759.1-725245 ,15.1,( 0.25   *),0.160524
VW    Ari *,022645.6+103355 ,6.64,6.76,0.1606
IV    Vel  ,095710.9-523820 ,5.99,-0.013,0.1608
del   Cet *,023929.0+001943 ,4.05,4.1,0.16113668
V0356 Dra  ,165536.9+522244 ,13.36,13.9,0.16132
V2742 Ori  ,053913.2-002044 ,17.8,18.1,0.162376
PT    Pup *,073641.0-194208 ,5.72,5.74,0.16284
V1274 Oph  ,170303.9-212723 ,15.1,16.4,0.16287
V5524 Sgr  ,181911.0-252320 ,17.4,18.3,0.163
UU    Aqr *,220905.7-034618 ,12.85,15.5,0.163580482
V0409 Vir  ,124032.9-000313 ,17.1,17.4,0.164164
V0757 Per *,021823.0+570037 ,7.74,7.79,0.164309
V0372 Sge  ,200939.6+210444 ,8.47,-0.03,0.164314
V0562 Vir  ,142852.6-000521 ,14,14.4,0.165036
del   Lup *,152122.3-403851 ,3.2,3.24,0.16547
V0471 Per *,015849.6+525349 ,13.03,13.27,0.16668
NP    Lib  ,150000.2-141705 ,12.47,13.3,0.1675616
MQ    Pav *,200620.0-572449 ,14.5,15,0.1683
GV    Aqr *,223002.8-080627 ,12.8,13.6,     0.168383    :  
V1228 Cen  ,113318.0-630616 ,9.55,-0.04,0.16848
V0622 And  ,231326.3+440126 ,11,11.1,0.16878
V2584 Ori  ,053543.6-004646 ,17.87,-0.04,0.169
eps   Cen *,133953.3-532759 ,2.29,2.31,0.169608
V0352 Aur  ,065514.7+435436 ,6.13,6.18,0.17
eta   Hya  ,084313.5+032355 ,4.27,4.33,0.17
V0770 Cen *,112109.1-603213 ,12.32,12.5,0.17
V0381 Car *,103608.3-581304 ,9.04,9.06,     0.17        :  
V1276 Tau  ,034632.0+242834 ,17.15,-0.1,0.17
LT    Eri *,040714.8-064425 ,15,18.72,0.17017
V0418 Gem *,070408.7+262510 ,16.3,( 0.5    *),0.1706
V0460 Vel *,084242.0-471209 ,14.96,-0.25,0.1706
V1074 Cas *,011708.7+582828 ,16.54,16.67,0.171418
V0681 And  ,233542.5+394427 ,14.38,14.71,0.1718023
V2981 Sgr  ,181854.1-341348 ,15.1,15.6,0.17192
V1828 Ori  ,044859.4-014908 ,17.5,17.9,0.173506
TV    Pav  ,174546.2-582341 ,13,13.5,0.174587
V1494 Sgr  ,180417.1-294652 ,17.2,17.8,0.1747
AU    Cha  ,123638.8-764012 ,15.3,15.8,0.1752
V0379 Car *,103558.5-581416 ,8.21,9.34,0.1753
AM    Sex  ,101123.1-012644 ,15,15.3,0.176601
V2367 Cyg  ,193445.6+455416 ,11.81,( 0.40   V),0.176617
CR    CrB  ,161428.0+303145 ,11.8,-0.12,0.17690501
AR    Ari  ,031804.2+245238 ,7.87,7.98,0.1770392
tau 1 Lup  ,142608.2-451317 ,4.54,4.58,0.17738884
V1363 Sco  ,164938.6-443141 ,11.2,11.3,0.1775964
nu.   Eri *,043619.1-032109 ,3.92,-0.14,0.17790414
VZ    Cnc *,084052.1+094927 ,7.18,7.91,0.178363704
V0926 Sco *,173858.2-442700 ,17.4,-0.2,0.18
AW    CrB *,161520.2+354226 ,11.08,11.35,0.180465
V1452 Sco *,171218.4-330603 ,9.42,9.52,0.1807742
V0461 Vir *,131438.0-002039 ,18.2,18.6,0.181087
EI    Cru  ,125352.0-602216 ,9.44,-0.01,0.182
MQ    Dra  ,155331.3+551615 ,17.7,18.8,0.18297
CM    CrB  ,161043.4+343714 ,11.57,-0.14,0.18391199
ET    Lyn  ,075240.0+393218 ,7.38,7.42,0.184373
EY    CMa *,065332.9-201327 ,4.79,4.84,0.184557
IL    Vel *,091731.2-525020 ,9.13,-0.15,0.18465
V0401 Vir  ,123018.0-001837 ,17.3,17.6,0.185701
PV    Vir  ,125536.3-053835 ,11.57,11.63,0.18611
V1638 Oph  ,171339.4-195207 ,17.4,17.8,0.18687
V0459 Vir  ,131322.7-020529 ,13.8,14.1,0.187105
V2112 Oph *,171852.8+060508 ,6.5,6.52,0.1874472
V0378 Car *,103553.6-581448 ,9.22,-0.015,0.188
V1207 Sco  ,165420.6-414929 ,11.2,-0.04,0.189
V1259 Cen *,130220.3-632824 ,11.3,11.5,0.189127
CW    Ser  ,155309.8+060526 ,11.59,12.06,0.1891505
V0356 Aur *,054228.1+285956 ,7.97,8.1,0.1892678
V1363 Sgr  ,180236.8-294717 ,16.9,17.4,0.189572
V1143 Cas  ,014335.6+640207 ,11.3,11.45,0.189991
alf   Lyr *,183656.3+384701 ,-0.02,0.07,0.19
HH    CMa  ,065714.8-221210 ,6.59,6.66,0.19
V0482 Hya  ,082739.0-020034 ,15.4,15.8,0.190393
V2535 Cyg  ,202307.6+404609 ,10.46,-0.04,0.190396
bet   Cep *,212839.6+703339 ,3.16,3.27,0.1904881
V0974 Oph  ,173733.7-294525 ,11.6,12,0.1910568
V0637 Mon *,070254.8-041421 ,4.96,5.01,0.1912
V2800 Oph  ,182426.8+064541 ,12.1,-0.01,0.19167
V2534 Cyg *,202307.3+404655 ,10.66,-0.06,0.192198
BY    CrB  ,160306.2+261423 ,12.34,12.48,0.192446
BX    Tri *,022050.8+332048 ,12.35,12.7,0.192634
QU    Pup *,075140.4-425318 ,6.04,           ,0.1927
LW    Nor  ,162229.8-573117 ,14.8,15.3,0.19309
DD    Lac *,224128.7+401332 ,5.16,5.28,0.1930924
del   Sct *,184216.4-090309 ,4.6,4.79,0.1937697
V1155 Cas *,014639.0+611406 ,10.41,-0.04,0.194047
DO    CMi *,071219.4+092103 ,10.54,10.73,0.1945
V1973 Oph *,172222.3-203408 ,16.9,18.2,     0.19453     :  
V1088 Cas *,011917.2+574559 ,15.7,15.83,0.194762
V0798 Cyg  ,193806.9+305434 ,12.4,12.8,0.19476629
EF    CMi  ,075250.4+001410 ,12.2,12.6,0.194885
MU    Cam *,062516.3+733439 ,14.3,15,0.19661
UX    UMa *,133641.0+515449 ,12.57,14.15,0.19667128
V0395 Dra  ,180239.5+624308 ,12.68,13.17,0.1969
BS    Aqr *,234846.0-080845 ,9.12,9.62,0.197822
AY    Sex *,102347.7+003841 ,17.26,17.9,0.198094
V2797 Oph  ,182309.1+065134 ,10.6,-0.01,0.19818
LZ    Her  ,174929.1+291916 ,14.1,14.6,0.198959
V0552 Peg  ,225455.0+241445 ,12.7,( 0.04 : *),0.1994
kap   Sco *,174229.3-390148 ,2.41,2.42,0.1998303
VY    Psc  ,014635.3+172446 ,6.54,6.59,0.2
FP    Ser  ,155440.3+083449 ,6.28,-0.025,     0.2         :  
V0963 Ori  ,061916.9+203448 ,  8.47 : ,8.5,     0.2         :  
BZ    Ara  ,165014.7-584512 ,14.5,15.1,     0.2         :  
BS    Oct  ,194802.3-753055 ,15.8,16.2,     0.2         :  
V2018 Ori  ,053444.9-010425 ,19.42,-0.12,0.2
V1778 Ori  ,053708.6-051846 ,15.27,-0.21,0.2
V0360 Per *,022249.8+573042 ,9.85,9.88,     0.20072     :  
V0595 And  ,230418.6+481948 ,13,13.3,0.20085
BW    Vul *,205422.4+283119 ,6.52,-0.24,0.20104117
V0498 Sct *,182616.9-151543 ,10.68,11,0.201051
V0337 Ori  ,055920.6+200208 ,10.9,11.45,0.2012592
LL    Eri *,033243.5-085539 ,12.8,-0.14,0.201626
KP    Per *,033239.0+445121 ,6.37,-0.14,0.2017786
FO    Aqr *,221755.4-082105 ,12.7,14.2,0.2020596
V0898 Ara *,164408.9-471904 ,10.02,10.17,0.2020686
V0874 Cep *,221234.0+571529 ,12.9,-0.03,0.20289
BW    Cru *,125357.5-602458 ,9.03,9.09,0.203
V5641 Sgr *,182610.3-170421 ,10.15,10.27,0.203362
V1364 Sco *,165314.0-434458 ,9,9.18,0.203604
V1961 Sgr  ,181753.0-254408 ,12.2,13.8,0.2038504
V0479 Nor *,161857.9-510330 ,10.39,10.49,0.205471
V0469 Hya  ,081302.5-021421 ,16,16.3,0.205782
V0934 Oph *,174354.5-004252 ,16,16.4,     0.205911    :  
V0539 Ser *,181716.1-152706 ,9.59,9.69,0.207308
V0645 Mon *,080113.3-012333 ,4.68,-0.02,0.207878
GM    Com *,121224.9+272248 ,8.06,8.14,     0.208       :  
AI    CVn *,122347.0+423234 ,5.89,6.15,0.2085
V0944 Mon  ,080032.8-021246 ,16,16.3,0.209273
ksi 1 CMa *,063151.4-232506 ,4.33,4.36,0.2095755
MP    Eri  ,044445.0-003633 ,16.7,17.1,0.209611
BV    Cnc *,084033.0+191140 ,8.65,-0.02,0.21
V5633 Sgr *,180807.5-343432 ,9.34,9.44,0.210641
V0881 Cyg *,193138.0+294315 ,13.6,13.8,0.2106556
FL    Cru *,125318.7-640124 ,11.6,-0.14,0.212974
lam   Sco *,173336.5-370614 ,1.62,-0.06,0.2136966
V0553 Ser  ,183317.4+055931 ,12.1,12.27,0.21377
V0446 Dra  ,202932.1+831218 ,12.26,14.49,0.214752
TV    Col *,052925.5-324904 ,13.6,<14.5      ,0.21631
V2449 Cyg  ,212330.6+462139 ,13.98,-0.04,0.217
FG    Cru *,123747.7-621923 ,10.1,-0.1,0.217457
V1775 Oph *,171722.8-195412 ,16.5,17.1,     0.21780     :  
V1867 Ori  ,052718.8-002057 ,17.2,17.7,0.217985
V1727 Cyg *,213126.2+471725 ,15.6,18.5,0.2182579
V0355 Cam  ,042846.2+551701 ,12.2,12.5,0.21852
KV    Gem *,064712.6+154334 ,12.4,12.9,0.2185467
V1407 Sgr  ,180305.3-294838 ,16.4,17,0.218689
AH    Sex  ,095627.7-011725 ,17.7,18,0.219029
V0443 Vir  ,130313.6-012222 ,14.5,14.8,0.219039
LU    Gem  ,061919.3+232810 ,7.21,7.24,0.21909
V0710 And  ,235119.5+333350 ,14.01,14.37,0.219197
HX    Ara  ,175844.9-551624 ,11.85,12.22,0.219408
V0352 Per *,021337.0+563414 ,9.47,9.49,0.21995
V2060 Oph  ,162851.2-055126 ,15,15.7,0.22
V1892 Oph  ,172017.7-164642 ,17.1,18.4,     0.22001     :  
V1424 Sgr  ,180321.8-295026 ,17.4,17.9,0.22008
V3614 Sgr  ,183530.7-333145 ,16.8,17.7,0.22061
CC    Com *,121206.0+223159 ,11.3,12.21,0.22068628
V3730 Sgr  ,183958.1-333052 ,15.1,15.8,0.22095
V0753 Cen *,115115.3-554816 ,10.24,10.64,0.221349
HM    Cet  ,020731.4+054106 ,12.66,13.48,0.22232
BW    Tri  ,021606.2+343749 ,12.75,13,0.22246
V0369 Sct *,185116.9-062111 ,9.14,9.43,0.223
V0587 Aur  ,045117.7+433714 ,11.44,-0.05,0.2232
V1110 Sgr  ,191314.8-142213 ,14.7,15.1,0.2232919
VX    Hya *,094546.8-120014 ,10.21,10.96,0.2233889
V5640 Sgr *,181923.1-282857 ,11.2,11.22,0.224046
OS    Nor *,163155.0-580319 ,14.5,15,0.2242
V0900 Ara  ,164630.2-470110 ,10.86,-0.06,0.2242066
KM    Hya *,121535.6-252358 ,15.3,15.8,0.2244765
V1150 Oph  ,165818.6-220027 ,16.1,16.9,0.22496
V2586 Cyg  ,211229.2+480732 ,19.28,-0.1,0.225
V0954 Oph *,180923.0+012304 ,14.3,14.9,0.22527
V1535 Sgr  ,180438.5-300127 ,17.3,17.8,     0.22547     :  
DR    Com *,124038.4+222201 ,13.7,14.2,0.22592
IT    Her *,184546.4+251959 ,12.9,13.3,0.226038
V0358 CMa *,072022.4-234357 ,13.9,-0.1,0.227
NU    Vul  ,201414.5+284141 ,5.36,-0.05,0.227
V1104 Her  ,180947.8+490255 ,13.23,14.19,0.2278765
V2451 Sgr  ,175928.1-285305 ,15.8,16.5,0.22877
V0997 Cyg *,194805.0+525117 ,14.1,14.9,0.22892
V0593 Vir *,144430.1-012826 ,15.2,15.6,0.228947
V0532 Vir  ,141208.2-015210 ,16,16.3,0.22943
V0533 Vir *,141238.6-005351 ,15,15.4,0.229537
ET    Mus *,125729.5-745353 ,12.1,12.9,0.2296741
LS    Her *,160203.8+172850 ,10.79,11.12,0.23080771
V1522 Sgr  ,180430.9-294644 ,17.2,17.8,0.23158
V1241 Cas  ,235923.0+563551 ,16.73,16.8,0.2317
RW    Tri *,022536.2+280551 ,12.5,15.61,0.231883276
AI    Mic  ,210801.4-392808 ,13.8,14.6,0.232034
V0691 CrA *,182546.9-370619 ,14.8,16.6,0.232111
V0497 Ser *,155907.9-012051 ,14.9,15.3,0.232169
V0523 Cas *,004006.3+501416 ,10.62,11.45,0.23369068
V1017 Oph *,161741.9-044806 ,14.4,14.8,0.23425
V0504 Hya *,084946.2-000015 ,14,14.2,0.234363
V0338 Dra *,154911.1+603803 ,13.3,13.9,0.23515
V2296 Sgr  ,181433.9-274316 ,16.2,16.6,0.2352788
KW    Eri *,025413.5-470650 ,13.4,14.1,0.2352922
V0380 Car *,103601.6-581510 ,8.95,-0.02,     0.236       :  
V1172 Her  ,162337.2+155720 ,12.65,13.35,0.236166
V0761 Cep *,003405.3+845159 ,13.88,14.12,0.23626
V3454 Sgr  ,183009.1-320548 ,16.2,17,0.23648
bet   Cru *,124743.3-594120 ,1.23,1.31,0.2365072
RW    Com *,123300.3+264258 ,11,11.7,0.2373459
HU    Pav  ,202123.0-702312 ,14.9,15.7,0.238
V3664 Sgr  ,183721.4-354257 ,14.7,15.6,0.23815
V3279 Sgr  ,182505.5-332340 ,16.1,16.9,0.23847
V0662 Pup *,072650.6-474527 ,20.1,20.5,0.2386
LR    Gem  ,061515.4+221804 ,9.01,9.12,0.23887
V0386 Dra *,175304.3+512920 ,13.4,13.7,0.2389133
V1022 Oph *,162121.3-040310 ,15.1,16.12,0.2394
V2724 Ori  ,053823.2-021249 ,12.2,-0.05,0.24
V2315 Sgr *,181531.3-274937 ,16.2,16.6,     0.240       :  
V0500 Sct  ,182725.9-144208 ,9.99,10.08,0.2401721
V0485 Hya  ,082941.9-015939 ,15.7,16,0.240283
TV    Lyn *,073331.7+474810 ,11.24,11.66,0.24065119
QR    Aqr  ,205501.3-065755 ,13,13.6,0.2409176
V2753 Ori  ,054007.2-020404 ,17.4,-0.17,0.241
V2032 Ori  ,053447.8-004401 ,18.77,-0.06,0.241
FY    Boo *,134651.8+225713 ,13,13.9,0.2411593
EW    Psc *,000111.5+090441 ,10.26,10.39,0.241202
V0572 Peg  ,231025.7+340843 ,16.15,16.58,0.2413931
V1096 Her  ,172845.0+434813 ,13.01,13.39,0.241415
V0821 Cep *,203016.2+603632 ,17.3,18.09,0.2419
QX    Vir *,143628.4-053621 ,12.1,12.7,0.242074
V2551 Cyg  ,203536.5+524545 ,10.75,11,0.242324
V0368 Dra *,171906.2+574121 ,19.64,-0.27,0.2435
V3262 Sgr  ,182449.9-344237 ,14.6,15,0.24364
V0905 Ara  ,171301.2-610950 ,14,( 0.2    *),0.243909
V0642 Lyr  ,181840.1+315739 ,16.7,17.3,0.244485
V1355 Tau *,050206.8+242740 ,13.6,14.3,     0.24467     :  
V0500 Ara  ,171428.3-572617 ,14,14.6,0.2447
V0690 Lyr  ,192018.7+373029 ,19.74,( 0.71   R),0.2454
KZ    Cep *,225630.9+625207 ,8.2,8.22,0.24544
DY    CVn *,131047.8+364408 ,13.05,13.9,0.2459495
V1317 Sgr *,180157.9-295623 ,18.3,18.9,0.24603
CR    Scl *,004430.2-360629 ,9.58,9.71,0.246537
sig   Sco *,162111.3-253534 ,2.86,2.94,0.246839
V0568 Peg  ,230813.0+330304 ,12.9,13.35,0.247074
V3680 Sgr  ,183750.0-321613 ,16.7,17.6,0.24712
V0795 Ara  ,172121.6-580953 ,15.5,15.9,0.2475
V0414 Vir *,124450.1-005040 ,14.7,15.1,0.247874
V1720 Cyg *,210740.1+485119 ,7.77,7.79,0.248331
V0500 Cam *,085559.1+782426 ,14,14.8,0.24835
V0520 Hya *,091353.7-012002 ,14.8,15.3,0.248654
KV    Per *,015833.9+572643 ,13.8,14.3,0.249121
V0625 And  ,231540.3+360853 ,13.98,14.57,0.2495841
V1038 Oph  ,163226.1-045349 ,15.1,15.7,0.2497337
AN    Scl  ,011240.5-291046 ,8.8,9,     0.25        :  
PQ    Com  ,133153.6+154118 ,13.8,-0.05,0.25
V0853 Mon *,065143.3+003119 ,15.98,16.12,0.25
bet   CMa *,062242.0-175721 ,1.93,2,0.25003
FY    Her *,180628.5+290550 ,14.2,14.6,0.250686
V0811 Cep  ,200416.8+610532 ,14.2,14.9,0.250762
V1374 Tau *,054803.9+283047 ,13.6,14.5,0.2508621
NX    Boo *,150059.5+341141 ,13.02,13.4,0.251133
BT    Tri *,021015.5+302646 ,14.2,14.8,0.2512
IS    Boo *,141600.2+491416 ,14,14.6,0.25145
V0414 Cam  ,055325.0+794501 ,13.75,14.2,0.25155
QQ    Lup *,144226.4-455807 ,12.4,13.35,0.251562
BI    Vul *,212248.0+270140 ,14.15,14.9,0.251818
V2572 Cyg  ,211021.2+482219 ,19.04,-0.06,0.252
NN    Sct  ,185341.7-105231 ,15.5,15.8,0.252587
XY    Ari  ,025608.2+192634 ,13.54,17.6,0.25271
PZ    Aqr  ,205413.3-081838 ,16,16.4,0.25325
V1920 Oph  ,172102.0-183915 ,16.9,17.4,0.2533
DE    Lac *,221007.8+405511 ,10.08,10.43,0.2536934
V2577 Cyg  ,211104.9+480804 ,19.53,-0.29,0.254
V0431 Gem  ,073924.7+235625 ,17.5,( 0.2    *),     0.254       :  
QV    Dra  ,152611.7+542259 ,12.7,13.1,0.254
V0457 CrA *,175944.1-420349 ,13.6,14.1,0.2540511
V1319 Sco *,155551.6-214833 ,11.35,11.9,0.2541281
CG    Hya  ,124323.9-290242 ,15.2,16,0.254443
V1147 Her  ,160044.2+430842 ,13.8,14.3,0.254468
V1106 Her *,181324.4+255012 ,12.6,12.9,0.254573
V1845 Ori  ,050527.0-015440 ,15.7,16.1,0.254789
V1144 Her *,155657.5+421337 ,14.6,15.4,0.25497
V0902 Mon *,062746.4+014811 ,13.5,15.5,     0.2551      :  
TU    Mic  ,203715.8-432348 ,15.2,15.8,0.255436
DH    Peg *,221525.6+064921 ,9.15,9.8,0.2555104
V1130 Cen  ,124046.4-345135 ,13.6,14.2,0.255521
NR    Cam  ,075430.6+780645 ,10.76,11.25,0.255885
V0594 Lyr  ,184521.8+455329 ,14,-0.33,0.256002
V2394 Cyg *,194122.9+401439 ,18.27,-0.16,0.2562
V0416 Gem *,065947.3+222949 ,12.7,13.2,0.25625
PU    Vir *,123948.6-022622 ,11.54,11.71,0.2562555
V0503 Vir *,135048.7+013319 ,15,16.17,0.2564941
EQ    Cen  ,133217.4-523219 ,14.4,15.2,0.256845
BB    Men *,062254.3-750202 ,11.4,11.83,0.257707
V0790 Aql  ,201127.4-004715 ,14.5,15,0.258
OW    Com *,132412.8+170218 ,15.4,16.4,0.258127
LZ    Com  ,125651.2+281035 ,14.37,14.79,0.2581435
V0576 Peg  ,231059.5+214243 ,11.2,11.8,0.258175
V0501 Vir  ,134947.5-020649 ,18.1,18.7,0.258187
V1616 Oph *,171306.6-203918 ,15.9,16.3,     0.25845     :  
V0508 Hya  ,085440.1-004319 ,15.2,15.5,0.258733
V1439 Sgr *,180334.6-301730 ,16.5,17.4,0.25877
V2582 Cyg  ,211137.4+482146 ,19.93,-0.08,0.259
V0362 Per  ,023411.4+582420 ,8.22,8.24,     0.25942     :  
RV    Gru *,223924.4-465232 ,11,11.4,0.2595186
V3766 Sgr  ,184120.9-330540 ,16.5,17.1,0.25957
V3619 Sgr  ,183546.1-361645 ,16.8,17.4,0.25979
alf   Lup *,144155.8-472318 ,2.29,2.34,0.2598466
PY    Dra  ,151149.3+583701 ,13.2,13.6,0.259875
V0589 Vir *,144125.7+033900 ,13.76,14.25,0.259883
V1218 Sco  ,165611.6-403529 ,10.4,-0.02,0.26
V2585 Cyg  ,211201.0+481729 ,21.45,-0.29,0.26
V0830 Cep  ,205443.7+695958 ,13.4,14.85,0.260118
EI    CVn *,140205.6+340240 ,11.82,12.6,0.260768
V1077 Cas *,011749.8+582431 ,14.73,15.58,0.260823
VZ    Psc *,232748.4+045124 ,10.2,10.45,0.2611865
V1308 Aql  ,194847.4+072216 ,17,17.4,0.2614
HW    Vel *,083923.8-532623 ,5.46,5.52,0.26145
AA    Dor *,053140.4-695302 ,11.13,11.6,0.2615398
FS    Aqr *,220543.1-002346 ,12.5,13.3,0.2620461
V3085 Sgr  ,182040.1-325904 ,15.1,15.8,0.26208
CF    CrB  ,160600.1+294954 ,14.14,-0.4,0.262445
V1481 Sgr  ,180406.8-295635 ,17.5,18.1,0.262555
V1197 Her  ,163322.9+281820 ,12.75,13.46,0.2626814
PZ    UMa *,092907.1+495123 ,12.5,13.4,0.2627
V0803 Aql *,190044.1-072855 ,14,15,0.2634254
V0491 Hya  ,083955.4-000350 ,13.7,13.9,0.263482
EH    CVn *,134113.7+314724 ,13,13.4,0.263587
FS    CrA *,180612.2-373129 ,13.8,14.6,0.2636378
V2385 Cyg *,194059.6+400825 ,19.81,-0.3,0.2637
MW    And *,023129.0+394120 ,15,15.8,0.26375
V3763 Sgr  ,184111.1-323429 ,15.8,16.6,0.26383
V2781 Oph  ,180845.6+100845 ,13.11,13.66,0.26384
V1752 Aql *,190728.7+041854 ,15.52,15.64,0.2641
